time,cells
576,7442072029170.745
577,7455263955494.764
578,7468400044352.251
579,7481480392917.057
580,7494505099962.806
581,7507474265837.454
582,7520387992438.036
583,7533246383185.606
584,7546049543000.376
585,7558797578277.039
586,7571490596860.298
587,7584128708020.575
588,7596712022429.93
589,7609240652138.157
590,7621714710549.09
591,7634134312397.091
592,7646499573723.742
593,7658810611854.725
594,7671067545376.895
595,7683270494115.555
596,7695419579111.916
597,7707514922600.757
598,7719556647988.273
599,7731544879830.124
600,7743479743809.666
601,7755361366716.387
602,7767189876424.525
603,7778965401871.887
604,7790688073038.849
605,7802358020927.56
606,7813975377541.326
607,7825540275864.192
608,7837052849840.708
609,7848513234355.887
610,7859921565215.355
611,7871277979125.687
612,7882582613674.925
613,7893835607313.297
614,7905037099334.108
615,7916187229854.828
616,7927286139798.357
617,7938333970874.485
618,7949330865561.524
619,7960276967088.135
620,7971172419415.327
621,7982017367218.649
622,7992811955870.556
623,8003556331422.952
624,8014250640589.93
625,8024895030730.666
626,8035489649832.514
627,8046034646494.264
628,8056530169909.583
629,8066976369850.631
630,8077373396651.849
631,8087721401193.925
632,8098020534887.931
633,8108270949659.631
634,8118472797933.965
635,8128626232619.698
636,8138731407094.244
637,8148788475188.653
638,8158797591172.77
639,8168758909740.559
640,8178672585995.594
641,8188538775436.715
642,8198357633943.845
643,8208129317763.974
644,8217853983497.303
645,8227531788083.549
646,8237162888788.41
647,8246747443190.19
648,8256285609166.581
649,8265777544881.603
650,8275223408772.697
651,8284623359537.981
652,8293977556123.649
653,8303286157711.532
654,8312549323706.804
655,8321767213725.844
656,8330939987584.249
657,8340067805284.989
658,8349150827006.716
659,8358189213092.215
660,8367183124037.007
661,8376132720478.091
662,8385038163182.831
663,8393899613037.987
664,8402717231038.888
665,8411491178278.738
666,8420221615938.077
667,8428908705274.363
668,8437552607611.702
669,8446153484330.71
670,8454711496858.514
671,8463226806658.882
672,8471699575222.49
673,8480129964057.32
674,8488518134679.186
675,8496864248602.393
676,8505168467330.527
677,8513430952347.37
678,8521651865107.937
679,8529831367029.646
680,8537969619483.614
681,8546066783786.064
682,8554123021189.873
683,8562138492876.222
684,8570113359946.383
685,8578047783413.616
686,8585941924195.187
687,8593795943104.501
688,8601610000843.357
689,8609384257994.314
690,8617118875013.169
691,8624814012221.553
692,8632469829799.639
693,8640086487778.956
694,8647664146035.32
695,8655202964281.87
696,8662703102062.211
697,8670164718743.668
698,8677587973510.645
699,8684973025358.085
700,8692320033085.044
701,8699629155288.3545
702,8706900550356.403
703,8714134376463.003
704,8721330791561.37
705,8728489953378.194
706,8735612019407.813
707,8742697146906.482
708,8749745492886.738
709,8756757214111.861
710,8763732467090.433
711,8770671408070.98
712,8777574193036.725
713,8784440977700.408
714,8791271917499.224
715,8798067167589.824
716,8804826882843.43
717,8811551217841.018
718,8818240326868.598
719,8824894363912.578
720,8831513482655.219
721,8838097836470.156
722,8844647578418.031
723,8851162861242.184
724,8857643837364.432
725,8864090658880.941
726,8870503477558.162
727,8876882444828.854
728,8883227711788.184
729,8889539429189.906
730,8895817747442.615
731,8902062816606.074
732,8908274786387.623
733,8914453806138.654
734,8920600024851.166
735,8926713591154.385
736,8932794653311.469
737,8938843359216.266
738,8944859856390.156
739,8950844291978.957
740,8956796812749.896
741,8962717565088.658
742,8968606694996.49
743,8974464348087.379
744,8980290669585.291
745,8986085804321.48
746,8991849896731.854
747,8997583090854.406
748,9003285530326.715
749,9008957358383.494
750,9014598717854.217
751,9020209751160.787
752,9025790600315.277
753,9031341406917.729
754,9036862312153.996
755,9042353456793.67
756,9047814981188.035
757,9053247025268.098
758,9058649728542.662
759,9064023230096.465
760,9069367668588.363
761,9074683182249.572
762,9079969908881.96
763,9085227985856.393
764,9090457550111.125
765,9095658738150.256
766,9100831686042.217
767,9105976529418.32
768,9111093403471.355
769,9116182442954.229
770,9121243782178.654
771,9126277555013.889
772,9131283894885.518
773,9136262934774.281
774,9141214807214.947
775,9146139644295.23
776,9151037577654.754
777,9155908738484.053
778,9160753257523.623
779,9165571265063.01
780,9170362890939.938
781,9175128264539.486
782,9179867514793.299
783,9184580770178.836
784,9189268158718.666
785,9193929807979.797
786,9198565845073.045
787,9203176396652.44
788,9207761588914.668
789,9212321547598.55
790,9216856397984.566
791,9221366264894.395
792,9225851272690.506
793,9230311545275.787
794,9234747206093.191
795,9239158378125.432
796,9243545183894.697
797,9247907745462.414
798,9252246184429.03
799,9256560621933.832
800,9260851178654.8
801,9265117974808.488
802,9269361130149.926
803,9273580763972.572
804,9277776995108.28
805,9281949941927.291
806,9286099722338.273
807,9290226453788.371
808,9294330253263.29
809,9298411237287.406
810,9302469521923.906
811,9306505222774.953
812,9310518454981.87
813,9314509333225.36
814,9318477971725.748
815,9322424484243.248
816,9326348984078.246
817,9330251584071.62
818,9334132396605.074
819,9337991533601.504
820,9341829106525.375
821,9345645226383.133
822,9349440003723.629
823,9353213548638.57
824,9356965970762.996
825,9360697379275.76
826,9364407882900.053
827,9368097589903.93
828,9371766608100.867
829,9375415044850.334
830,9379043007058.383
831,9382650601178.262
832,9386237933211.045
833,9389805108706.28
834,9393352232762.652
835,9396879410028.672
836,9400386744703.371
837,9403874340537.023
838,9407342300831.879
839,9410790728442.912
840,9414219725778.594
841,9417629394801.67
842,9421019837029.963
843,9424391153537.18
844,9427743444953.746
845,9431076811467.648
846,9434391352825.287
847,9437687168332.354
848,9440964356854.71
849,9444223016819.295
850,9447463246215.023
851,9450685142593.729
852,9453888803071.084
853,9457074324327.563
854,9460241802609.395
855,9463391333729.547
856,9466523013068.703
857,9469636935576.266
858,9472733195771.36
