x,y
50,49
49,50
48,49
49,48
48,49
48,48
48,49
47,48
48,48
47,47
48,46
48,47
49,48
50,48
51,48
51,49
50,50
49,51
49,50
50,50
50,49
49,49
50,50
51,49
52,50
52,51
51,51
52,51
51,51
52,52
52,51
51,50
50,50
49,50
48,50
49,51
48,50
47,50
46,51
46,52
45,51
46,50
45,50
46,50
46,49
46,48
46,47
45,48
44,49
43,48
44,48
44,47
45,46
45,47
45,48
46,49
47,50
46,50
45,50
45,49
46,49
45,50
45,49
46,48
45,48
46,48
46,49
47,48
46,49
47,49
48,48
48,47
49,47
48,46
49,46
48,46
48,45
47,45
46,45
47,45
46,46
47,45
47,44
46,43
47,42
48,42
49,41
50,41
50,42
51,42
51,41
51,40
50,39
51,38
51,39
51,38
52,38
53,38
52,38
52,37
